Year,Month,Booking_state_simple,Total_GMV,Total_trading,Rank
2020,1,COMPLETED,2831000,12331164,1
2020,1,UNALLOCATED,2159400,2355698,2
2020,1,CANCELLED_DRIVER,1689100,3127969,3
2020,10,COMPLETED,3905400,3747575,1
2020,10,CANCELLED_DRIVER,1590100,10926278,2
2020,10,UNALLOCATED,1036600,1329892,3
2020,11,COMPLETED,2346500,8721088,1
2020,11,UNALLOCATED,1588000,1606459,2
2020,11,CANCELLED_DRIVER,1180600,11441818,3
2020,12,COMPLETED,2872600,2447628,1
2020,12,UNALLOCATED,1086900,5473032,2
2020,12,CANCELLED_DRIVER,644300,2060941,3
2020,2,COMPLETED,3713300,3267603,1
2020,2,UNALLOCATED,1258500,1561588,2
2020,2,CANCELLED_DRIVER,996900,572787,3
2020,3,COMPLETED,3863525,7995097,1
2020,3,UNALLOCATED,2105100,1408028,2
2020,3,CANCELLED_DRIVER,2064400,704690,3
2020,4,COMPLETED,2860700,5474630,1
2020,4,CANCELLED_DRIVER,2175400,1626900,2
2020,4,UNALLOCATED,2099500,1545139,3
2020,5,COMPLETED,3456200,5993938,1
2020,5,CANCELLED_DRIVER,1369500,997654,2
2020,5,UNALLOCATED,994600,914234,3
2020,6,COMPLETED,3741500,8722874,1
2020,6,CANCELLED_DRIVER,1887200,2302003,2
2020,6,UNALLOCATED,1378200,4460899,3
2020,7,COMPLETED,2971400,2417061,1
2020,7,CANCELLED_DRIVER,2160000,1181194,2
2020,7,UNALLOCATED,1138300,3017136,3
2020,8,COMPLETED,3540800,2530926,1
2020,8,UNALLOCATED,2143200,1705101,2
2020,8,CANCELLED_DRIVER,1064000,831356,3
2020,9,COMPLETED,2475200,7887348,1
2020,9,CANCELLED_DRIVER,1315800,719135,2
2020,9,UNALLOCATED,1113300,903354,3
2021,1,CANCELLED_DRIVER,1560100,8667437,1
2021,1,COMPLETED,1451000,8376705,2
2021,1,UNALLOCATED,1171300,2562467,3
2021,10,COMPLETED,1486000,3688943,1
2021,10,UNALLOCATED,1107800,6732904,2
2021,10,CANCELLED_DRIVER,570000,891147,3
2021,11,COMPLETED,1773250,5200225,1
2021,11,CANCELLED_DRIVER,1049000,1461210,2
2021,11,UNALLOCATED,963000,6876203,3
2021,12,COMPLETED,2441000,9141211,1
2021,12,UNALLOCATED,589000,2720291,2
2021,12,CANCELLED_DRIVER,279000,1433459,3
2021,2,COMPLETED,2032600,3442580,1
2021,2,CANCELLED_DRIVER,1735400,2553386,2
2021,2,UNALLOCATED,252000,1170790,3
2021,3,UNALLOCATED,1878700,1644369,1
2021,3,COMPLETED,1593500,10859799,2
2021,3,CANCELLED_DRIVER,354000,1650574,3
2021,4,CANCELLED_DRIVER,1364000,2556872,1
2021,4,UNALLOCATED,1204300,1146754,2
2021,4,COMPLETED,1104000,2169001,3
2021,5,COMPLETED,2308000,4308360,1
2021,5,CANCELLED_DRIVER,968600,1652154,2
2021,5,UNALLOCATED,765000,1128872,3
2021,6,COMPLETED,2620400,7761478,1
2021,6,UNALLOCATED,552000,358365,2
2021,6,CANCELLED_DRIVER,168800,145345,3
2021,7,COMPLETED,2113040,8099081,1
2021,7,CANCELLED_DRIVER,1594000,1045921,2
2021,7,UNALLOCATED,926000,6967929,3
2021,8,CANCELLED_DRIVER,1782700,7082545,1
2021,8,COMPLETED,1337000,2577583,2
2021,8,UNALLOCATED,1046400,2220117,3
2021,9,COMPLETED,1272400,8855198,1
2021,9,CANCELLED_DRIVER,833000,3031938,2
2021,9,UNALLOCATED,687000,2150915,3
2022,1,COMPLETED,2141500,6400915,1
2022,1,UNALLOCATED,1083000,1243296,2
2022,1,CANCELLED_DRIVER,557000,1594702,3
2022,10,COMPLETED,3842600,3890861,1
2022,10,CANCELLED_DRIVER,1596100,3917814,2
2022,10,UNALLOCATED,1043200,1031815,3
2022,11,COMPLETED,3099600,3681045,1
2022,11,UNALLOCATED,2594000,3845357,2
2022,11,CANCELLED_DRIVER,981600,185603,3
2022,12,COMPLETED,4522200,4507387,1
2022,12,CANCELLED_DRIVER,1933400,6770106,2
2022,12,UNALLOCATED,1503425,4218819,3
2022,2,UNALLOCATED,1363000,7529823,1
2022,2,COMPLETED,1229900,3806066,2
2022,2,CANCELLED_DRIVER,656110,2533427,3
2022,3,COMPLETED,161000,6982994,1
2022,3,UNALLOCATED,97000,11889778,2
2022,3,CANCELLED_DRIVER,62000,883677,3
2022,4,COMPLETED,0,13791697,1
2022,4,CANCELLED_DRIVER,0,11572170,2
2022,4,UNALLOCATED,0,5875900,3
2022,5,COMPLETED,0,3748821,1
2022,5,CANCELLED_DRIVER,0,3577239,2
2022,5,UNALLOCATED,0,6548812,3
2022,6,COMPLETED,0,9178831,1
2022,6,UNALLOCATED,0,1696990,2
2022,6,CANCELLED_DRIVER,0,5207529,3
2022,7,COMPLETED,0,5313040,1
2022,7,CANCELLED_DRIVER,0,1176171,2
2022,7,UNALLOCATED,0,11100556,3
2022,8,COMPLETED,0,2218932,1
2022,8,CANCELLED_DRIVER,0,1983686,2
2022,8,UNALLOCATED,0,1885178,3
2022,9,COMPLETED,443600,3655946,1
2022,9,UNALLOCATED,334300,472083,2
2022,9,CANCELLED_DRIVER,246300,5561846,3
